subj,chan,task,X,Y,Z,dof,RT,varRT,JPAnatomy,Tval,Pval
OS02,LOFC10,minusone,-49.9629645919605,36.0131402543542,-2.55493092219105,3,3.38906660986443,2.1969625825849,OFC,1.15937564009386,0.124875024995001
OS02,LOFC10,one,-49.9629645919605,36.0131402543542,-2.55493092219105,7,1.49999988271988,0.437103417934102,OFC,0.0427409818735026,0.129724055188962
OS02,LOFC1,minusone,-4.99886185896051,31.3313536633542,-25.8589159491911,3,3.38906660986443,2.1969625825849,OFC,0.565200290351464,0.381023795240952
OS02,LOFC1,one,-4.99886185896051,31.3313536633542,-25.8589159491911,7,1.49999988271988,0.437103417934102,OFC,-0.296430043235418,0.146620675864827
OS02,LOFC2,minusone,-9.9003538079605,31.8114058693542,-23.3026183051911,3,3.38906660986443,2.1969625825849,OFC,-0.0108200578078883,0.377624475104979
OS02,LOFC2,one,-9.9003538079605,31.8114058693542,-23.3026183051911,7,1.49999988271988,0.437103417934102,OFC,1.16794123052597,0.0757848430313937
OS02,LOFC3,minusone,-14.9816439469605,32.1563593973542,-20.7469078191911,3,3.38906660986443,2.1969625825849,OFC,0.567530570443952,0.187362527494501
OS02,LOFC3,one,-14.9816439469605,32.1563593973542,-20.7469078191911,7,1.49999988271988,0.437103417934102,OFC,1.66762210487462,0.0882323535292941
OS02,LOFC4,minusone,-20.0794341149605,32.3703357333542,-18.1690018351911,3,3.38906660986443,2.1969625825849,OFC,0.272151872997387,0.378324335132973
OS02,LOFC4,one,-20.0794341149605,32.3703357333542,-18.1690018351911,7,1.49999988271988,0.437103417934102,OFC,-0.434083602051222,0.325584883023395
OS02,LOFC5,minusone,-24.7847658979605,33.1153729153542,-15.6332271871911,3,3.38906660986443,2.1969625825849,OFC,0.790667365808189,0.186362727454509
OS02,LOFC5,one,-24.7847658979605,33.1153729153542,-15.6332271871911,7,1.49999988271988,0.437103417934102,OFC,2.11124639065095,0.144621075784843
OS02,LOFC6,minusone,-30.0403559079605,33.7580801693542,-13.038675605191,3,3.38906660986443,2.1969625825849,OFC,1.73205729012315,0.0639872025594881
OS02,LOFC6,one,-30.0403559079605,33.7580801693542,-13.038675605191,7,1.49999988271988,0.437103417934102,OFC,-0.102208648927704,0.158068386322735
OS02,LOFC7,minusone,-34.9879021079605,34.2619861693543,-10.3327740051911,3,3.38906660986443,2.1969625825849,OFC,25.9135984189739,0.185062987402519
OS02,LOFC7,one,-34.9879021079605,34.2619861693543,-10.3327740051911,7,1.49999988271988,0.437103417934102,OFC,0.284679523265564,0.269396120775845
OS02,LOFC8,minusone,-40.3550907079605,35.0499395693543,-7.59699500519107,3,3.38906660986443,2.1969625825849,OFC,0.419481548199747,0.379424115176965
OS02,LOFC8,one,-40.3550907079605,35.0499395693543,-7.59699500519107,7,1.49999988271988,0.437103417934102,OFC,0.263155831215789,0.343281343731254
OS02,LOFC9,minusone,-45.1506888999605,35.4668878613542,-5.03073082519106,3,3.38906660986443,2.1969625825849,OFC,1.78489981913304,0.0655868826234753
OS02,LOFC9,one,-45.1506888999605,35.4668878613542,-5.03073082519106,7,1.49999988271988,0.437103417934102,OFC,0.416064970575537,0.29754049190162
OS01,ROFC2,minusone,11.49148924698,32.3017635748641,-18.7319571399361,3,3.61270380192824,2.98183971492675,OFC,-0.557365555041659,0.244551089782044
OS01,ROFC2,one,11.49148924698,32.3017635748641,-18.7319571399361,9,2.46561334220233,0.349266027794474,OFC,1.01825335194653,0.206808638272346
OS01,ROFC4,minusone,18.3253601432801,28.8418044306641,-11.5752397120361,3,3.61270380192824,2.98183971492675,OFC,-0.294655292350141,0.376724655068986
OS01,ROFC4,one,18.3253601432801,28.8418044306641,-11.5752397120361,9,2.46561334220233,0.349266027794474,OFC,-0.0633903855869854,0.17871425714857
OS01,ROFC5,minusone,22.04050977788,27.398731398264,-7.98728703423613,3,3.61270380192824,2.98183971492675,OFC,-6.15266690706154,0.0001999600079984
OS01,ROFC5,one,22.04050977788,27.398731398264,-7.98728703423613,9,2.46561334220233,0.349266027794474,OFC,0.894468859568828,0.237352529494101
